"file","line_number","line_content","matched_path","suggested_replacement"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260221_Step02 normalize samplesheets.R",63,"OUT_DIR     <- ""D:/Projects/GBM_Analysis/results/TP53/20260221/02_normalize""","D:/Projects/GBM_Analysis/results/TP53/20260221/02_normalize","here::here(""20260221"", ""02_normalize"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260221_Step03 select tumor primary.R",59,"# 出力先: D:/Projects/GBM_Analysis/results/TP53/20260221/03_tumor_primary/","D:/Projects/GBM_Analysis/results/TP53/20260221/03_tumor_primary/","here::here(""20260221"", ""03_tumor_primary"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260221_Step03 select tumor primary.R",69,"NORMALIZE_DIR <- ""D:/Projects/GBM_Analysis/results/TP53/20260221/02_normalize""","D:/Projects/GBM_Analysis/results/TP53/20260221/02_normalize","here::here(""20260221"", ""02_normalize"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260221_Step03 select tumor primary.R",70,"OUT_DIR       <- ""D:/Projects/GBM_Analysis/results/TP53/20260221/03_tumor_primary""","D:/Projects/GBM_Analysis/results/TP53/20260221/03_tumor_primary","here::here(""20260221"", ""03_tumor_primary"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260221_Step04 representative selection.R",51,"BASE_DIR    <- ""D:/Projects/GBM_Analysis""","D:/Projects/GBM_Analysis","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260221_Step04 representative selection.R",56,"GDC_API_URL <- ""https://api.gdc.cancer.gov/files""","s://api.gdc.cancer.gov/files","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260221_Step05a wxs rna match tcga.R",45,"BASE_DIR   <- ""D:/Projects/GBM_Analysis""","D:/Projects/GBM_Analysis","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260221_Step05b wxs rna match cptac hcmi.R",40,"BASE_DIR   <- ""D:/Projects/GBM_Analysis""","D:/Projects/GBM_Analysis","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260222_step05c_00_glass_structure_check.R",10,"GLASS_DIR <- ""D:/Projects/GBM_Analysis/data/raw/external_validation/difg_glass""","D:/Projects/GBM_Analysis/data/raw/external_validation/difg_glass","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260222_step05c_00_glass_structure_check.R",11,"OUT_DIR   <- ""D:/Projects/GBM_Analysis/results/TP53/20260221/05c_glass""","D:/Projects/GBM_Analysis/results/TP53/20260221/05c_glass","here::here(""20260221"", ""05c_glass"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260222_step05c_01_glass_mapping.R",11,"GLASS_DIR <- ""D:/Projects/GBM_Analysis/data/raw/external_validation/difg_glass""","D:/Projects/GBM_Analysis/data/raw/external_validation/difg_glass","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260222_step05c_01_glass_mapping.R",12,"OUT_DIR   <- ""D:/Projects/GBM_Analysis/results/TP53/20260221/05c_glass""","D:/Projects/GBM_Analysis/results/TP53/20260221/05c_glass","here::here(""20260221"", ""05c_glass"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260222_step05c_02_glass_final_cohort.R",12,"GLASS_DIR <- ""D:/Projects/GBM_Analysis/data/raw/external_validation/difg_glass""","D:/Projects/GBM_Analysis/data/raw/external_validation/difg_glass","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260222_step05c_02_glass_final_cohort.R",13,"OUT_DIR   <- ""D:/Projects/GBM_Analysis/results/TP53/20260221/05c_glass""","D:/Projects/GBM_Analysis/results/TP53/20260221/05c_glass","here::here(""20260221"", ""05c_glass"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260222_step05c_02_glass_final_cohort.R",224,"cat(""exclude_reason:\n"")","n:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260222_step05c_02_glass_final_cohort.R",231,"cat(""\nTP53 WT/Mut:\n"")","t:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260222_step05c_02_glass_final_cohort.R",235,"cat(""\nIDH WT/Mut:\n"")","t:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260222_step05c_03_glass_wxs_sensitivity.R",12,"OUT_DIR <- ""D:/Projects/GBM_Analysis/results/TP53/20260221/05c_glass""","D:/Projects/GBM_Analysis/results/TP53/20260221/05c_glass","here::here(""20260221"", ""05c_glass"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260222_step05c_04_glass_tcga_exclude.R",12,"OUT_DIR <- ""D:/Projects/GBM_Analysis/results/TP53/20260221/05c_glass""","D:/Projects/GBM_Analysis/results/TP53/20260221/05c_glass","here::here(""20260221"", ""05c_glass"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260222_step05c_04_glass_tcga_exclude.R",44,"cat(""TCGA source:\n"")","e:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260222_step05c_04_glass_tcga_exclude.R",66,"cat(""IDH:\n"");  print(table(df$idh_status,  useNA = ""ifany""))","H:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260222_step05c_04_glass_tcga_exclude.R",67,"cat(""source:\n""); print(table(df$source, useNA = ""ifany""))","e:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260222_Step06 gene expression extraction.R",57,"BASE_DIR   <- ""D:/Projects/GBM_Analysis""","D:/Projects/GBM_Analysis","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260222_Step07 diagnose.R",19,"BASE_DIR   <- ""D:/Projects/GBM_Analysis""","D:/Projects/GBM_Analysis","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260222_Step07 tp53 idh from maf.R",61,"BASE_DIR   <- ""D:/Projects/GBM_Analysis""","D:/Projects/GBM_Analysis","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260222_Step08 final cohort.R",49,"BASE_DIR   <- ""D:/Projects/GBM_Analysis""","D:/Projects/GBM_Analysis","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260222_step09_diagnosis.R",6,"BASE_DIR <- ""D:/Projects/GBM_Analysis/results/TP53/20260221""","D:/Projects/GBM_Analysis/results/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260222_step09_main.R",9,"BASE_DIR <- ""D:/Projects/GBM_Analysis/results/TP53/20260221""","D:/Projects/GBM_Analysis/results/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260222_step09_main.R",32,"cat(""Grade:\n"");  print(table(cohort$grade))","e:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260222_step09_main.R",34,"cat(""IDH:\n"");    print(table(cohort$idh_status))","H:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260222_step09_main.R",35,"cat(""Source:\n""); print(table(cohort$source))","e:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260223_step09b_regression.R",10,"BASE_DIR <- ""D:/Projects/GBM_Analysis/results/TP53/20260221""","D:/Projects/GBM_Analysis/results/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260223_step09b_regression.R",77,"cat(""95%CI:\n"")","I:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260223_step10_glass.R",7,"BASE_DIR  <- ""D:/Projects/GBM_Analysis/results/TP53/20260221""","D:/Projects/GBM_Analysis/results/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260223_step10_glass.R",135,"cat(""95%CI:\n""); print(confint(fit_main))","I:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260223_step10_glass.R",156,"cat(""95%CI:\n""); print(confint(fit_sens))","I:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260224_Step06b checkpoint gene extraction.R",51,"BASE_DIR    <- ""D:/Projects/GBM_Analysis""","D:/Projects/GBM_Analysis","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260224_Step06b1 glass wxs checkpoint.R",35,"RESULT_DIR    <- ""D:/Projects/GBM_Analysis/results/TP53/20260221""","D:/Projects/GBM_Analysis/results/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260224_Step06b1 glass wxs checkpoint.R",102,"cat(""  WARNING: 不一致ID:\n"")","D:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260224_step11_meta.R",20,"BASE_DIR    <- ""D:/Projects/GBM_Analysis/results/TP53/20260221""","D:/Projects/GBM_Analysis/results/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260224_step12a_tp53_subgroup_qc.R",26,"BASE_DIR <- ""D:/Projects/GBM_Analysis/results/TP53/20260221""","D:/Projects/GBM_Analysis/results/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260224_step12b_subgroup_classify.R",29,"BASE_DIR  <- ""D:/Projects/GBM_Analysis/results/TP53/20260221""","D:/Projects/GBM_Analysis/results/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260224_step12c_subgroup_analysis.R",31,"BASE_DIR <- ""D:/Projects/GBM_Analysis/results/TP53/20260221""","D:/Projects/GBM_Analysis/results/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260224_step13_combined_figure1.R",26,"BASE_DIR   <- ""D:/Projects/GBM_Analysis/results/TP53/20260221""","D:/Projects/GBM_Analysis/results/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260224_step13a_plot_subgroup.R",20,"BASE_DIR <- ""D:/Projects/GBM_Analysis/results/TP53/20260221""","D:/Projects/GBM_Analysis/results/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260224_step13b_forest_plot.R",11,"BASE_DIR   <- ""D:/Projects/GBM_Analysis/results/TP53/20260221""","D:/Projects/GBM_Analysis/results/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260224_step13c_plot_main_wtmut.R",26,"BASE_DIR  <- ""D:/Projects/GBM_Analysis/results/TP53/20260221""","D:/Projects/GBM_Analysis/results/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260224_step16a_checkpoint_specificity.R",42,"BASE_DIR   <- ""D:/Projects/GBM_Analysis""","D:/Projects/GBM_Analysis","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260224_Step16b checkpoint regression.R",38,"BASE_DIR   <- ""D:/Projects/GBM_Analysis""","D:/Projects/GBM_Analysis","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260224_Step16c checkpoint figure.R",18,"RESULT_DIR <- ""D:/Projects/GBM_Analysis/results/TP53/20260221""","D:/Projects/GBM_Analysis/results/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260224_Step17 immune score regression.R",48,"BASE_DIR   <- ""D:/Projects/GBM_Analysis""","D:/Projects/GBM_Analysis","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260224_Step18 interaction emm.R",48,"BASE_DIR   <- ""D:/Projects/GBM_Analysis""","D:/Projects/GBM_Analysis","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260224_Step19 robustness stratified.R",42,"BASE_DIR   <- ""D:/Projects/GBM_Analysis""","D:/Projects/GBM_Analysis","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260224_Step20 residual analysis.R",44,"BASE_DIR   <- ""D:/Projects/GBM_Analysis""","D:/Projects/GBM_Analysis","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260224_Step21 immune score tp53 diff.R",41,"BASE_DIR   <- ""D:/Projects/GBM_Analysis""","D:/Projects/GBM_Analysis","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260224_Step22 lag3 distribution comparison.R",39,"BASE_DIR   <- ""D:/Projects/GBM_Analysis""","D:/Projects/GBM_Analysis","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260224_Step23 standardized effect.R",39,"BASE_DIR   <- ""D:/Projects/GBM_Analysis""","D:/Projects/GBM_Analysis","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260224_Step24 interaction source.R",40,"BASE_DIR   <- ""D:/Projects/GBM_Analysis""","D:/Projects/GBM_Analysis","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260224_Step25 quantile regression.R",43,"BASE_DIR   <- ""D:/Projects/GBM_Analysis""","D:/Projects/GBM_Analysis","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260224_Step26 permutation.R",40,"BASE_DIR   <- ""D:/Projects/GBM_Analysis""","D:/Projects/GBM_Analysis","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260225_step_S1_grade23_violin.R",12,"BASE_DIR  <- ""D:/Projects/GBM_Analysis/results/TP53/20260221""","D:/Projects/GBM_Analysis/results/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260226 step13c plot main wtmut v3.R",26,"BASE_DIR  <- ""D:/Projects/GBM_Analysis/results/TP53/20260221""","D:/Projects/GBM_Analysis/results/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260226 step13c plot main wtmut v4.R",26,"BASE_DIR  <- ""D:/Projects/GBM_Analysis/results/TP53/20260221""","D:/Projects/GBM_Analysis/results/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260226_Scan gbm csv files.R",3,"# 目的: D:/Projects/GBM_Analysis/results/TP53/20260221 以下の","D:/Projects/GBM_Analysis/results/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260226_Scan gbm csv files.R",15,"BASE_DIR <- ""D:/Projects/GBM_Analysis/results/TP53/20260221""","D:/Projects/GBM_Analysis/results/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260226_Step09b regression.R",11,"BASE_DIR <- ""D:/Projects/GBM_Analysis/results/TP53/20260221""","D:/Projects/GBM_Analysis/results/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260226_Step09b regression.R",78,"cat(""95%CI:\n"")","I:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260226_Step11c forest plot.R",24,"BASE_DIR <- ""D:/Projects/GBM_Analysis/results/TP53/20260221""","D:/Projects/GBM_Analysis/results/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260226_Step13b forest plot v3.R",24,"BASE_DIR   <- ""D:/Projects/GBM_Analysis/results/TP53/20260221""","D:/Projects/GBM_Analysis/results/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260226_Step23 standardized effect.R",43,"BASE_DIR   <- ""D:/Projects/GBM_Analysis""","D:/Projects/GBM_Analysis","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260227_step27a_check_input_data.R",28,"BASE_DIR    <- ""D:/Projects/GBM_Analysis""","D:/Projects/GBM_Analysis","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260227_step27b_build_expression_matrix.R",41,"BASE_DIR   <- ""D:/Projects/GBM_Analysis""","D:/Projects/GBM_Analysis","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260227_step27c_check_glass_expression.R",24,"BASE_DIR    <- ""D:/Projects/GBM_Analysis""","D:/Projects/GBM_Analysis","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260227_step27d_build_glass_expression_matrix.R",42,"BASE_DIR    <- ""D:/Projects/GBM_Analysis""","D:/Projects/GBM_Analysis","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260227_step28_estimate_tumor_purity.R",26,"base_dir   <- ""D:/Projects/GBM_Analysis/results/TP53/20260221""","D:/Projects/GBM_Analysis/results/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260227_step28_estimate_tumor_purity.R",190,"cat(""ESTIMATEScore summary:\n"")","y:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260227_step28_estimate_tumor_purity.R",192,"cat(""TumorPurity summary:\n"")","y:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260227_step29_ssgsea_hallmark.R",22,"base_dir <- ""D:/Projects/GBM_Analysis/results/TP53/20260221""","D:/Projects/GBM_Analysis/results/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260227_step30a_prepare_analysis_dataset.R",24,"base_dir   <- ""D:/Projects/GBM_Analysis/results/TP53/20260221""","D:/Projects/GBM_Analysis/results/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260227_step30a_prepare_analysis_dataset.R",74,"cat(""TumorPurity summary:\n"")","y:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260227_step30a_prepare_analysis_dataset.R",110,"cat(""\n主要列のsummary:\n"")","y:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260227_step30b_add_composite_scores.R",16,"base_dir <- ""D:/Projects/GBM_Analysis/results/TP53/20260221""","D:/Projects/GBM_Analysis/results/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260227_step30b_add_composite_scores.R",75,"cat(""APM summary:\n"")","y:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260227_step30b_add_composite_scores.R",82,"cat(""IFNg summary:\n"")","y:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260227_step30b_add_composite_scores.R",89,"cat(""Tcell summary:\n"")","y:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260227_step30b_add_composite_scores.R",95,"cat(""LAG3 summary:\n"")","y:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260227_step30b_add_composite_scores.R",110,"cat(""\n回帰変数のsummary:\n"")","y:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260227_step30c_screening_stage1_stage2.R",22,"base_dir <- ""D:/Projects/GBM_Analysis/results/TP53/20260221""","D:/Projects/GBM_Analysis/results/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260227_step30d_additional_checks.R",22,"base_dir <- ""D:/Projects/GBM_Analysis/results/TP53/20260221""","D:/Projects/GBM_Analysis/results/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260227_step31_visualization.R",18,"base_dir <- ""D:/Projects/GBM_Analysis/results/TP53/20260221""","D:/Projects/GBM_Analysis/results/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260227_step32a_check_glass_cohort.R",9,"""D:/Projects/GBM_Analysis/results/TP53/20260221/05c_glass/glass_final_cohort_wxs_notcga.csv"",","D:/Projects/GBM_Analysis/results/TP53/20260221/05c_glass/glass_final_cohort_wxs_notcga.csv","here::here(""20260221"", ""05c_glass"", ""glass_final_cohort_wxs_notcga.csv"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260227_step32a_prepare_glass_dataset.R",12,"base_dir <- ""D:/Projects/GBM_Analysis/results/TP53/20260221""","D:/Projects/GBM_Analysis/results/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260227_step32b_glass_screening.R",14,"base_dir <- ""D:/Projects/GBM_Analysis/results/TP53/20260221""","D:/Projects/GBM_Analysis/results/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260227_step32c_make_suppl_table_s5.R",10,"base_dir <- ""D:/Projects/GBM_Analysis/results/TP53/20260221""","D:/Projects/GBM_Analysis/results/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260228_step32c_glass_visualization.R",12,"base_dir <- ""D:/Projects/GBM_Analysis/results/TP53/20260221""","D:/Projects/GBM_Analysis/results/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260306_Step19 robustness stratified_v2.R",24,"BASE_DIR   <- ""D:/Projects/GBM_Analysis""","D:/Projects/GBM_Analysis","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260306_Step22 lag3 distribution comparison.R",31,"BASE_DIR   <- ""D:/Projects/GBM_Analysis""","D:/Projects/GBM_Analysis","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260415_33 paper evidence audit.R",4,"# 対象: D:/Projects/GBM_Analysis/results/TP53/20260221","D:/Projects/GBM_Analysis/results/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260415_33 paper evidence audit.R",12,"BASE_DIR   <- ""D:/Projects/GBM_Analysis/results/TP53/20260221""","D:/Projects/GBM_Analysis/results/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260415_step16a_checkpoint_specificity_v2.R",32,"BASE_DIR   <- ""D:/Projects/GBM_Analysis""","D:/Projects/GBM_Analysis","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260415_Step19 robustness stratified_v3.R",30,"BASE_DIR   <- ""D:/Projects/GBM_Analysis""","D:/Projects/GBM_Analysis","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260221/20260415_Step22 lag3 distribution comparison.R",31,"BASE_DIR   <- ""D:/Projects/GBM_Analysis""","D:/Projects/GBM_Analysis","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/Check combat refit structure_20260630.R",8,"orig_dir <- ""D:/Projects/GBM_Analysis/results/TP53/20260221""","D:/Projects/GBM_Analysis/results/TP53/20260221","here::here(""20260221"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/Check combat refit structure_20260630.R",25,"cat(""\nmeta structure:\n""); str(meta)","e:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/Check combat refit structure_20260630.R",51,"cat(""\nanalysis df head:\n""); print(utils::head(d, 3))","d:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/Cptac checkpoint detection check_20260630.R",10,"results_root <- ""D:/Projects/GBM_Analysis/results/TP53/20260630""","D:/Projects/GBM_Analysis/results/TP53/20260630","here::here(""20260630"")"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/Cptac checkpoint detection check_20260630.R",54,"cat(""\nWrote checkpoint_protein_detection_CORRECTED.csv to:\n"", out_dir, ""\n"")","o:\n","要手動確認（既知ルート外）"
"D:/Projects/GBM_Analysis/scripts/TP53/20260630/Cptac inspect structure_20260630.R",8,"results_root <- ""D:/Projects/GBM_Analysis/results/TP53/20260630""","D:/Projects/GBM_Analysis/results/TP53/20260630","here::here(""20260630"")"
